,NEIGHBORHOOD,ENCODED_VALUE
7022,HARLEM-EAST,107
7027,HARLEM-EAST,107
7046,HARLEM-EAST,107
7047,HARLEM-EAST,107
7048,HARLEM-EAST,107
7050,HARLEM-EAST,107
7054,HARLEM-EAST,107
7058,HARLEM-EAST,107
7059,HARLEM-EAST,107
7060,HARLEM-EAST,107
7061,HARLEM-EAST,107
7062,HARLEM-EAST,107
7063,HARLEM-EAST,107
7066,HARLEM-EAST,107
7067,HARLEM-EAST,107
7068,HARLEM-EAST,107
7069,HARLEM-EAST,107
7073,HARLEM-UPPER,108
7074,HARLEM-UPPER,108
7076,HARLEM-UPPER,108
7082,HARLEM-UPPER,108
7083,HARLEM-UPPER,108
7085,HARLEM-UPPER,108
7086,HARLEM-UPPER,108
7087,HARLEM-UPPER,108
7089,HARLEM-UPPER,108
7091,HARLEM-UPPER,108
7092,HARLEM-UPPER,108
7096,HARLEM-UPPER,108
7097,HARLEM-UPPER,108
7098,HARLEM-UPPER,108
7099,HARLEM-UPPER,108
7104,HARLEM-UPPER,108
7105,HARLEM-UPPER,108
7106,HARLEM-UPPER,108
7107,HARLEM-UPPER,108
7108,HARLEM-UPPER,108
7114,HARLEM-UPPER,108
7144,HARLEM-UPPER,108
7145,HARLEM-UPPER,108
7146,HARLEM-UPPER,108
7196,HARLEM-WEST,109
7200,HARLEM-WEST,109
7201,HARLEM-WEST,109
7202,HARLEM-WEST,109
7203,HARLEM-WEST,109
7204,HARLEM-WEST,109
7205,HARLEM-WEST,109
7206,HARLEM-WEST,109
7207,HARLEM-WEST,109
7208,HARLEM-WEST,109
7209,HARLEM-WEST,109
7210,HARLEM-WEST,109
7211,HARLEM-WEST,109
7235,HARLEM-WEST,109
7236,HARLEM-WEST,109
7237,HARLEM-WEST,109
7238,HARLEM-WEST,109
7239,HARLEM-WEST,109
7240,HARLEM-WEST,109
7241,HARLEM-WEST,109
7242,HARLEM-WEST,109
7243,HARLEM-WEST,109
7250,HARLEM-WEST,109
7251,HARLEM-WEST,109
7252,HARLEM-WEST,109
7253,HARLEM-WEST,109
7260,HARLEM-WEST,109
7261,HARLEM-WEST,109
7262,HARLEM-WEST,109
7263,HARLEM-WEST,109
7265,INWOOD,118
7266,INWOOD,118
7267,INWOOD,118
7268,INWOOD,118
7269,INWOOD,118
7270,INWOOD,118
7272,INWOOD,118
7273,INWOOD,118
7275,INWOOD,118
7278,INWOOD,118
7279,INWOOD,118
7281,INWOOD,118
7282,INWOOD,118
7283,INWOOD,118
7285,INWOOD,118
7286,INWOOD,118
7392,INWOOD,118
7393,INWOOD,118
7394,INWOOD,118
7398,INWOOD,118
7400,INWOOD,118
7401,INWOOD,118
7404,INWOOD,118
7503,JAVITS CENTER,124
7509,JAVITS CENTER,124
7511,JAVITS CENTER,124
7512,JAVITS CENTER,124
7516,KIPS BAY,129
7517,KIPS BAY,129
7521,KIPS BAY,129
7522,KIPS BAY,129
7524,KIPS BAY,129
7525,KIPS BAY,129
8008,KIPS BAY,129
8023,LITTLE ITALY,131
8024,LITTLE ITALY,131
8026,LITTLE ITALY,131
8029,LITTLE ITALY,131
8030,LITTLE ITALY,131
8031,LITTLE ITALY,131
8032,LITTLE ITALY,131
8098,LITTLE ITALY,131
8122,LOWER EAST SIDE,135
8126,LOWER EAST SIDE,135
8127,LOWER EAST SIDE,135
8128,LOWER EAST SIDE,135
8129,LOWER EAST SIDE,135
8132,LOWER EAST SIDE,135
8133,LOWER EAST SIDE,135
8134,LOWER EAST SIDE,135
8135,LOWER EAST SIDE,135
8136,LOWER EAST SIDE,135
8137,LOWER EAST SIDE,135
8140,LOWER EAST SIDE,135
8141,LOWER EAST SIDE,135
8142,LOWER EAST SIDE,135
8144,LOWER EAST SIDE,135
8641,LOWER EAST SIDE,135
8642,LOWER EAST SIDE,135
8643,LOWER EAST SIDE,135
8665,LOWER EAST SIDE,135
8666,LOWER EAST SIDE,135
8668,LOWER EAST SIDE,135
8669,LOWER EAST SIDE,135
8672,LOWER EAST SIDE,135
8675,LOWER EAST SIDE,135
8690,MANHATTAN VALLEY,138
8691,MANHATTAN VALLEY,138
8694,MANHATTAN VALLEY,138
8695,MANHATTAN VALLEY,138
8696,MANHATTAN VALLEY,138
8697,MANHATTAN VALLEY,138
8698,MANHATTAN VALLEY,138
8699,MANHATTAN VALLEY,138
8701,MANHATTAN VALLEY,138
8702,MANHATTAN VALLEY,138
8885,MIDTOWN CBD,146
9080,MIDTOWN CBD,146
9091,MIDTOWN CBD,146
9092,MIDTOWN CBD,146
9095,MIDTOWN CBD,146
9096,MIDTOWN CBD,146
9097,MIDTOWN CBD,146
9098,MIDTOWN CBD,146
9099,MIDTOWN CBD,146
9100,MIDTOWN CBD,146
9101,MIDTOWN CBD,146
9102,MIDTOWN CBD,146
9103,MIDTOWN CBD,146
9104,MIDTOWN CBD,146
9105,MIDTOWN CBD,146
